Ticker,Company Name,Sector,Industry,Exchange
SIYSIL.NS,Siyaram Silk Mills Limited,Consumer Cyclical,Textile Manufacturing,NSE
SJVN.NS,SJVN Limited,Utilities,Utilities - Renewable,NSE
SKIPPER.NS,Skipper Limited,Industrials,Engineering & Construction,NSE
SNOWMAN.NS,Snowman Logistics Limited,Industrials,Integrated Freight & Logistics,NSE
SOBHA.NS,Sobha Limited,Real Estate,Real Estate - Development,NSE
SOLARA.NS,Solara Active Pharma Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
SOLARINDS.NS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,NSE
SONACOMS.NS,Sona BLW Precision Forgings Limited,Consumer Cyclical,Auto Parts,NSE
SONATSOFTW.NS,Sonata Software Limited,Technology,Information Technology Services,NSE
SOUTHBANK.NS,The South Indian Bank Limited,Financial Services,Banks - Regional,NSE
SREEL.NS,Sreeleathers Limited,Consumer Cyclical,Footwear & Accessories,NSE
SRF.NS,SRF Limited,Industrials,Conglomerates,NSE
SRHHYPOLTD.NS,Sree Rayalaseema Hi-Strength Hypo Limited,Basic Materials,Chemicals,NSE
STARCEMENT.NS,Star Cement Limited,Basic Materials,Building Materials,NSE
STARPAPER.NS,Star Paper Mills Limited,Basic Materials,Paper & Paper Products,NSE
STARTECK.NS,Starteck Finance Limited,Financial Services,Credit Services,NSE
STERTOOLS.NS,Sterling Tools Limited,Industrials,Tools & Accessories,NSE
STLTECH.NS,Sterlite Technologies Limited,Technology,Communication Equipment,NSE
STOVEKRAFT.NS,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,Basic Materials,Specialty Chemicals,NSE
SUMMITSEC.NS,Summit Securities Limited,Financial Services,Capital Markets,NSE
SUNCLAY.NS,Sundaram-Clayton Limited,Industrials,Metal Fabrication,NSE
SUNDARAM.NS,Sundaram Multi Pap Limited,Basic Materials,Paper & Paper Products,NSE
SUNDARMFIN.NS,Sundaram Finance Limited,Financial Services,Credit Services,NSE
SUNDARMHLD.NS,TSF Investments Limited,Financial Services,Asset Management,NSE
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
SUNTECK.NS,Sunteck Realty Limited,Real Estate,Real Estate - Development,NSE
SUPREMEENG.NS,Supreme Engineering Limited,Basic Materials,Steel,NSE
SUPREMEIND.NS,The Supreme Industries Limited,Industrials,Building Products & Equipment,NSE
SUPRIYA.NS,Supriya Lifescience Limited,Healthcare,Biotechnology,NSE
SURYALAXMI.NS,Suryalakshmi Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,NSE
SURYAROSNI.NS,Surya Roshni Limited,Basic Materials,Steel,NSE
SUZLON.NS,Suzlon Energy Limited,Industrials,Specialty Industrial Machinery,NSE
SWARAJENG.NS,Swaraj Engines Limited,Consumer Cyclical,Auto Parts,NSE
SYMPHONY.NS,Symphony Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
SYNGENE.NS,Syngene International Limited,Healthcare,Diagnostics & Research,NSE
TAJGVK.NS,TAJGVK Hotels & Resorts Limited,Consumer Cyclical,Lodging,NSE
TARAPUR.NS,Tarapur Transformers Limited,Industrials,Specialty Industrial Machinery,NSE
TATACHEM.NS,Tata Chemicals Limited,Basic Materials,Chemicals,NSE
TATACOMM.NS,Tata Communications Limited,Communication Services,Telecom Services,NSE
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,NSE
TATAELXSI.NS,Tata Elxsi Limited,Technology,Software - Application,NSE
TATAMOTORS.NS,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,NSE
TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,NSE
TATASTEEL.NS,Tata Steel Limited,Basic Materials,Steel,NSE
TATATECH.NS,Tata Technologies Limited,Technology,Information Technology Services,NSE
TBZ.NS,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,Luxury Goods,NSE
TCI.NS,Transport Corporation of India Limited,Industrials,Integrated Freight & Logistics,NSE
TCIEXP.NS,TCI Express Limited,Industrials,Integrated Freight & Logistics,NSE
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,NSE
TDPOWERSYS.NS,TD Power Systems Limited,Industrials,Specialty Industrial Machinery,NSE
TECHIN.NS,Techindia Nirman Limited,Real Estate,Real Estate - Development,NSE
TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,NSE
TEJASNET.NS,Tejas Networks Limited,Technology,Communication Equipment,NSE
TERASOFT.NS,Tera Software Limited,Technology,Information Technology Services,NSE
THANGAMAYL.NS,Thangamayil Jewellery Limited,Consumer Cyclical,Luxury Goods,NSE
THEINVEST.NS,The Investment Trust of India Limited,Financial Services,Capital Markets,NSE
THERMAX.NS,Thermax Limited,Industrials,Conglomerates,NSE
THOMASCOOK.NS,Thomas Cook (India) Limited,Consumer Cyclical,Travel Services,NSE
THYROCARE.NS,Thyrocare Technologies Limited,Healthcare,Diagnostics & Research,NSE
TI.NS,Tilaknagar Industries Ltd.,Consumer Defensive,Beverages - Wineries & Distilleries,NSE
TIINDIA.NS,Tube Investments of India Limited,Industrials,Conglomerates,NSE
TIMKEN.NS,Timken India Limited,Industrials,Tools & Accessories,NSE
TIRUMALCHM.NS,Thirumalai Chemicals Limited,Basic Materials,Specialty Chemicals,NSE
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,NSE
TNTELE.NS,Tamilnadu Telecommunications Limited,Technology,Communication Equipment,NSE
TOKYOPLAST.NS,Tokyo Plast International Limited,Consumer Cyclical,Packaging & Containers,NSE
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
TORNTPOWER.NS,Torrent Power Limited,Utilities,Utilities - Independent Power Producers,NSE
TOTAL.NS,Total Transport Systems Limited,Industrials,Integrated Freight & Logistics,NSE
TOUCHWOOD.NS,Touchwood Entertainment Limited,Communication Services,Advertising Agencies,NSE
TRENT.NS,Trent Limited,Consumer Cyclical,Apparel Retail,NSE
TRIGYN.NS,Trigyn Technologies Limited,Technology,Information Technology Services,NSE
TRIVENI.NS,Triveni Engineering & Industries Limited,Consumer Defensive,Confectioners,NSE
TTKPRESTIG.NS,TTK Prestige Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
TVSMOTOR.NS,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,NSE
UCOBANK.NS,UCO Bank,Financial Services,Banks - Regional,NSE
UFLEX.NS,Uflex Limited,Consumer Cyclical,Packaging & Containers,NSE
UGROCAP.NS,UGRO Capital Limited,Financial Services,Credit Services,NSE
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials,NSE
UNICHEMLAB.NS,Unichem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
UNIONBANK.NS,Union Bank of India,Financial Services,Banks - Regional,NSE
UNITY.NS,Unity Infraprojects Limited,,,NSE
UNIVCABLES.NS,Universal Cables Limited,Industrials,Electrical Equipment & Parts,NSE
UPL.NS,UPL Limited,Basic Materials,Agricultural Inputs,NSE
UTIAMC.NS,UTI Asset Management Company Limited,Financial Services,Asset Management,NSE
VADILALIND.NS,Vadilal Industries Limited,Consumer Defensive,Packaged Foods,NSE
VBL.NS,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,NSE
