ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
ATUL.NS,31.92637,55.421177,173367787520,58983198720.0,5422499840.0,9536400384.0,20450500608.0,0.09648,0.0538,,0.09193,0.120170005,0.34672,,,,,0.114,0.31,0.31,3.14,3.413,2.349,0.43,0.1357,0.127,Basic Materials,Specialty Chemicals
AUBANK.NS,32.791695,45.051865,712286928896,90570653696.0,21738735616.0,,90570653696.0,0.12654,0.01428,,0.24002,0.30675,0.0,,,,,0.061,-0.022,-0.018,,,,0.1,0.0344,0.326,Financial Services,Banks - Regional
AUROPHARMA.NS,20.721806,19.587414,708636049408,325144805376.0,34224799744.0,65321598976.0,187354906624.0,0.10379,0.062529996,,0.10526,0.15073,0.57622004,,,,,0.063,0.044,0.038,22.248,1.848,0.954,0.33,0.0679,0.094,Healthcare,Drug Manufacturers - Specialty & Generic
AXISBANK.NS,15.418264,12.824884,3993092227072,757780578304.0,259889905664.0,,757780578304.0,0.14004,0.01592,,0.34296,0.41287,0.0,,,,,-0.06,-0.255,-0.253,,,,0.08,0.012,0.323,Financial Services,Banks - Regional
BAJAJ-AUTO.NS,30.702934,53.367012,2551393812480,558997569536.0,83299696640.0,135333896192.0,188216999936.0,0.25572002,0.14689,,0.14902,0.24033001,0.3367,,,,,0.195,0.527,0.532,57.257,0.94,0.425,2.31,0.70489997,0.728,Consumer Cyclical,Auto Manufacturers
BAJAJCON.NS,26.815447,19.051073,36641067008,10168712192.0,1365094016.0,1416808960.0,5730216960.0,0.20405,0.10092,,0.13424,0.16588,0.56351,,,,,0.134,0.361,0.328,2.789,2.828,2.021,,0.0,0.341,Consumer Defensive,Household & Personal Products
BAJAJELEC.NS,51.87366,29.206293,55905697792,47341232128.0,1031846016.0,2206475008.0,14765219840.0,0.06498,0.02241,,0.0218,0.02271,0.31189,,,,,-0.01,-0.241,-0.236,84.783,1.317,0.762,0.62,0.3205,0.064,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BAJAJFINSV.NS,35.002506,42.426636,3347046203392,1392695836672.0,96807903232.0,528023093248.0,706100396032.0,0.15100999,0.0499,,0.069510005,0.37335,0.507,,,,,0.111,0.069,0.075,237.537,2.17,2.077,0.05,0.0167,0.259,Financial Services,Financial Conglomerates
BAJFINANCE.NS,35.184937,24.982784,6444473122816,406392995840.0,183010803712.0,,376219107328.0,0.1909,0.0399,,0.45033002,0.60591,0.92574996,,,,,0.206,0.214,0.219,310.294,6.34,6.34,0.42,0.1495,0.195,Financial Services,Credit Services
BALKRISIND.NS,32.33637,23.448063,446021402624,104661803008.0,13795200000.0,22316400640.0,52602601472.0,0.13908,0.060539998,,0.13181,0.13313,0.50259995,,,,,-0.011,-0.213,-0.213,35.269,1.022,0.563,0.69,0.2242,0.303,Consumer Cyclical,Auto Parts
BALRAMCHIN.NS,22.431284,16.946875,90645454848,59088695296.0,4050573056.0,7431154176.0,15022206976.0,0.10847,0.07249,,0.06855,0.045539998,0.25423,,,,,0.287,-0.199,-0.198,19.761,2.647,0.303,0.78,0.15010001,0.525,Consumer Defensive,Confectioners
BANDHANBNK.NS,19.796589,4.7258773,243299696640,81861427200.0,12282233856.0,,81861427200.0,0.05056,0.0065499996,,0.15004,0.07959,0.0,,,,,-0.325,-0.881,-0.881,,,,1.0,0.19690001,0.235,Financial Services,Banks - Regional
