ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,screener_roce,fixed_assets_ratio,investment_ratio,screener_debt_to_equity,screener_opm,screener_dividend_payout
CEIGALL.NS,22.377764,17.492147,58201845760.0,36475039744,2593829888,4842200064.0,6877649920,,,,0.07111,0.12474,0.18856001,,,,,0.193,0.025,0.013,69.07,,,,0.0,,Industrials,Engineering & Construction,92.0,38.0,269.0,-139.0,63.0,22.0,0.07267441860465117,0.1260570824524313,0.3240546218487395,12.0,
CELLO.NS,29.992853,23.497604,92683362304.0,23193688064,3105115904,5290907136.0,12171456512,,,,0.13387999,0.17953,0.52477,,,,,0.002,-0.278,-0.263,0.221,,,0.36,0.1073,0.246,Consumer Cyclical,"Furnishings, Fixtures & Appliances",135.0,62.0,82.0,114.0,183.0,10.0,0.00622524052065648,0.4029428409734012,0.0033377837116154874,6.0,
CENTENKA.NS,13.469061,,9179431936.0,16658799616,682000000,1053774976.0,4107399936,,,,0.040939998,0.06627,0.24656,,,,,-0.166,0.697,0.696,2.535,,,2.37,0.3204,-0.002,Consumer Cyclical,Textile Manufacturing,32.0,87.0,48.0,71.0,61.0,6.0,0.43981745579007414,0.2567027952082145,0.025,6.0,
CENTEXT.NS,16.38346,,1743200128.0,4561299968,106900000,278150016.0,996400000,,,,0.023440002,0.05688,0.21845,,,,,0.183,0.161,0.184,63.677,,,,0.0,0.011,Basic Materials,Aluminum,30.0,45.0,30.0,45.0,12.0,18.0,0.18232044198895028,0.0,0.8636363636363636,6.0,
CENTURYPLY.NS,74.836296,31.128405,177738399744.0,51033034752,2370928896,5996822016.0,24147460096,,,,0.04646,0.09031,0.47317,,,,,0.184,0.091,0.093,66.141,,,0.13,0.0937,0.162,Basic Materials,Lumber & Wood Production,39.0,121.0,42.0,118.0,66.0,15.0,0.409483887870055,0.12863505370709982,0.2923679060665362,11.0,
CERA.NS,32.11939,26.663269,67430207488.0,19951794176,2124280960,2803361024.0,10093631488,,,,0.10647,0.08269,0.5059,,,,,0.103,-0.483,-0.483,4.352,,,1.24,0.39490002,-0.291,Industrials,Building Products & Equipment,51.0,163.0,77.0,137.0,65.0,22.0,0.20672546857772878,0.39250275633958104,0.043795620437956206,14.0,
CESC.NS,16.876122,14.974066,249207242752.0,183512907776,14759400448,36225548288.0,69881298944,,,,0.08043,0.12809,0.3808,,,,,0.125,0.08,0.075,141.107,,,3.2,0.94339997,0.198,Utilities,Utilities - Regulated Electric,53.0,,,53.0,-177.0,10.0,0.400352733686067,0.20096371882086167,1.1236680027373154,21.0,
CEWATER.NS,11.204644,,6390995968.0,5588049920,514340000,815597504.0,2493370112,,,,0.08512,0.00037999998,0.44619998,,,,,0.014,,,30.084,,,,0.0,,Utilities,Utilities - Regulated Water,21.55,1.6,153.71,-130.56,-36.51,3.22,0.003938492479155319,0.44215862906942643,0.011300759636124919,-6.36,
CGCL.NS,19.973206,13.263346,179297402880.0,24342069248,8440800256,,22889359360,,,,0.34675997,0.46207002,0.94031996,,,,,0.611,0.71,0.994,251.55,,,0.11,0.0215,-0.142,Financial Services,Credit Services,,,,,,,0.016331336712230585,0.06762914042901756,0.0,,
CGPOWER.NS,113.67319,80.256386,1281923743744.0,117289598976,11127499776,14212925440.0,35233300480,,,,0.09487,0.10917,0.30040002,,,,,0.262,0.153,0.184,1.519,,,0.16,0.18129998,0.266,Industrials,Electrical Equipment & Parts,74.0,57.0,98.0,32.0,22.0,36.0,0.08695245226506926,0.2376450767502808,0.0065163560536947735,14.0,
CHALET.NS,27.321041,26.934368,,27379939328,6059299840,11527419904.0,17556459520,,,,0.22129999,0.35524,0.64122003,,,,,0.271,0.281,0.285,72.88,,,0.26,0.0361,-0.101,Consumer Cyclical,Lodging,16.0,2246.0,548.0,1713.0,-227.0,12.0,0.6401009201543485,0.11932324131789848,0.640796306982112,43.0,
CHAMBLFERT.NS,9.145218,10.455742,175105081344.0,204573605888,19144900608,26222499840.0,73566298112,,,,0.09358,0.12427,0.35961,,,,,0.199,0.097,0.097,1.022,,,2.28,0.2093,0.33,Basic Materials,Agricultural Inputs,8.0,71.0,25.0,54.0,30.0,28.0,0.44776119402985076,0.05286376001764576,0.0015534382767191384,13.0,
CHEMBOND.NS,16.327713,,2083812224.0,2312602880,127621000,151470496.0,943659008,,,,0.05519,0.05298,0.40805,,,,,-0.502,-0.865,-0.864,3.705,,,1.15,0.1844,0.617,Basic Materials,Specialty Chemicals,87.0,60.0,124.0,23.0,44.0,11.0,0.1951219512195122,0.34146341463414637,0.0,5.0,
CHEMCON.NS,28.006933,,5919521280.0,2194637056,211732000,269853504.0,793161984,,,,0.09648,0.06677,0.36141,,,,,0.054,-0.421,-0.422,0.051,,,,0.0,-0.028,Basic Materials,Specialty Chemicals,91.0,261.0,49.0,303.0,211.0,7.0,0.26277372262773724,0.020072992700729927,0.0,12.0,
CHENNPETRO.NS,5.388657,,167234945024.0,636400631808,31026999296,47571398656.0,73510297600,0.32126,0.13972999,,0.04875,0.11215,0.115509994,,,,,-0.025,2.025,2.026,17.68,1.623,0.218,1.15,0.0624,0.169,Energy,Oil & Gas Refining & Marketing,1.0,53.0,25.0,29.0,10.0,36.0,,0.005956035859020018,0.0,5.0,
CHEVIOT.NS,9.70517,,6788258816.0,5405836800,700520000,776487744.0,2305356032,,,,0.12958999,0.097959995,0.42646,,,,,0.285,4.039,3.997,1.473,,,0.43,0.0417,0.321,Consumer Cyclical,Textile Manufacturing,23.0,196.0,12.0,207.0,101.0,10.0,0.30668414154652685,0.5019659239842726,0.014326647564469915,15.0,
CHOICEIN.NS,59.232826,44.17831,147923599360.0,10554130432,2176627968,,6621957120,0.16240999,0.07692,,0.20622998,0.30106002,0.62743,,,,,0.218,0.153,0.127,49.768,1.967,1.507,,0.0,-0.469,Financial Services,Capital Markets,36.1,,,36.1,4400.56,1.22,,0.6582060754722625,0.0,36.25,0.0
CHOLAHLDNG.NS,12.266741,10.105228,290322710528.0,203843092480,23677200384,,152484691968,,,,0.11615,0.34541,0.74805,,,,,0.186,0.287,0.287,635.38,,,0.08,0.010299999,0.356,Financial Services,Credit Services,,,,,,,0.0,0.9499632082413539,0.0,,
CIEINDIA.NS,20.798595,16.515678,179817758720.0,66398801920,3803300096,8760250368.0,35459600384,,,,0.05728,0.11777,0.53404,,,,,0.149,0.208,0.208,5.71,,,1.48,0.307,,Consumer Cyclical,Auto Parts,51.0,62.0,87.0,26.0,15.0,5.0,0.19049360146252287,0.5765996343692871,0.025119099177132957,16.0,
CIGNITITEC.NS,10.8321905,,,22111408128,3019741952,3706706944.0,10089918464,,,,0.13656999,0.17087,0.45632,,,,,0.122,0.26,0.263,1.799,,,,0.0,-0.16,Technology,Information Technology Services,75.0,,,75.0,91.0,31.0,0.029069767441860465,0.1375968992248062,0.022636484687083888,20.0,
CIPLA.NS,23.17528,23.679535,1054156390400.0,279671898112,45464301568,63687823360.0,182314303488,,,,0.16256,0.14027001,0.65189004,,,,,0.0,-0.57,-0.57,1.415,,,0.99,0.23110001,0.059,Healthcare,Drug Manufacturers - Specialty & Generic,74.0,241.0,126.0,189.0,154.0,20.0,0.11398050474028575,0.46665776472159165,0.003759963904346518,27.0,
CLEAN.NS,35.536797,30.99151,87243038720.0,9709769728,2454749952,3754292480.0,6015059968,,,,0.25281,0.2409,0.61949,,,,,-0.088,-0.301,-0.301,0.142,,,0.73,0.2599,0.027,Basic Materials,Specialty Chemicals,73.0,118.0,83.0,108.0,79.0,29.0,0.20490367775831875,0.6281377699941623,0.0006426735218508997,43.0,
CLSEL.NS,13.765978,,13923173376.0,13788981248,1010652992,1377139200.0,3121785088,,,,0.07329,0.11557,0.22639999,,,,,0.09,0.242,0.239,8.804,,,0.89,0.123,0.24,Consumer Defensive,Packaged Foods,56.0,142.0,4.0,194.0,141.0,17.0,0.16872427983539096,0.07613168724279835,0.0881578947368421,10.0,
CMSINFO.NS,14.9715605,12.243129,47670796288.0,24733159424,3218949888,5239889920.0,22439819264,,,,0.13015,0.13588001,0.90727997,,,,,0.063,-0.38,-0.384,9.543,,,1.89,0.3359,0.247,Industrials,Specialty Business Services,121.0,122.0,560.0,-317.0,45.0,22.0,0.2758386987461877,0.16672314469671298,0.08457040035987404,24.0,
COALINDIA.NS,9.544193,8.408837,2967969988608.0,1684002963456,310942892032,412419915776.0,1278600675328,0.28124002,0.07123,,0.18465,0.20922,0.75926,,,,,0.162,0.129,0.129,11.629,1.856,1.127,4.57,0.5232,-0.042,Energy,Thermal Coal,0.0,,,0.0,459.0,98.0,,0.5560364385187253,0.0,27.0,
COASTCORP.NS,24.853449,,3861907200.0,8030821888,154824000,473598016.0,2978867968,,,,0.01928,0.03936,0.37093,,,,,0.649,2.63,2.638,153.742,,,0.38,0.094799995,-0.019,Consumer Defensive,Packaged Foods,28.0,220.0,26.0,222.0,-4.0,6.0,0.2709677419354839,0.13548387096774195,0.8533333333333334,6.0,
COCHINSHIP.NS,62.74793,53.45192,457760571392.0,52953980928,7272117248,9168198656.0,19061573632,,,,0.13733,0.113800004,0.35996,,,,,0.177,-0.183,-0.183,20.291,,,0.76,0.35259998,0.382,Industrials,Aerospace & Defense,18.0,323.0,71.0,271.0,-56.0,20.0,0.21318281136198106,0.026219956300072834,0.1815347306426468,15.0,
COFORGE.NS,35.744995,21.626654,402046779392.0,152722997248,11331000320,22609000448.0,63513001984,,,,0.07888,0.13357,0.41587,,,,,0.262,0.155,0.161,10.888,,,1.34,0.4662,0.126,Technology,Information Technology Services,75.0,,,75.0,19.0,14.0,0.06945329425258061,0.5433923792532178,0.08437343984023964,8.0,
